t,ib,Ts1,Ts2,Ts3,Ts4,Ts5,Ts6,Ts7,Tc1,Tc2,Tc3,Tc4,Tc5,Tc6,Tc7
81.1,0,35.5690329287125,35.5690329287125,35.5690329287125,35.5690329287125,35.5690329287125,35.5690329287125,35.5690329287125,35.8315001440357,35.8315001440357,35.8315001440357,35.8315001440357,35.8315001440357,35.8315001440357,35.8315001440357
81.2,0,35.5691043723701,35.5691043723701,35.5691043723701,35.5691043723701,35.5691043723701,35.5691043723701,35.5691043723701,35.8312860773076,35.8312860773076,35.8312860773076,35.8312860773076,35.8312860773076,35.8312860773076,35.8312860773076
81.3,0,35.5691702383532,35.5691702383532,35.5691702383532,35.5691702383532,35.5691702383532,35.5691702383532,35.5691702383532,35.8310722434401,35.8310722434401,35.8310722434401,35.8310722434401,35.8310722434401,35.8310722434401,35.8310722434401
81.4,0,35.5692306730244,35.5692306730244,35.5692306730244,35.5692306730244,35.5692306730244,35.5692306730244,35.5692306730244,35.8308586376942,35.8308586376942,35.8308586376942,35.8308586376942,35.8308586376942,35.8308586376942,35.8308586376942
81.5,0,35.5692858189298,35.5692858189298,35.5692858189298,35.5692858189298,35.5692858189298,35.5692858189298,35.5692858189298,35.830645255454,35.830645255454,35.830645255454,35.830645255454,35.830645255454,35.830645255454,35.830645255454
81.6,0,35.5693358148981,35.5693358148981,35.5693358148981,35.5693358148981,35.5693358148981,35.5693358148981,35.5693358148981,35.8304320922238,35.8304320922238,35.8304320922238,35.8304320922238,35.8304320922238,35.8304320922238,35.8304320922238
81.7,0,35.569380796138,35.569380796138,35.569380796138,35.569380796138,35.569380796138,35.569380796138,35.569380796138,35.8302191436248,35.8302191436248,35.8302191436248,35.8302191436248,35.8302191436248,35.8302191436248,35.8302191436248
81.8,0,35.5694208943325,35.5694208943325,35.5694208943325,35.5694208943325,35.5694208943325,35.5694208943325,35.5694208943325,35.8300064053918,35.8300064053918,35.8300064053918,35.8300064053918,35.8300064053918,35.8300064053918,35.8300064053918
81.9,0,35.5694562377306,35.5694562377306,35.5694562377306,35.5694562377306,35.5694562377306,35.5694562377306,35.5694562377306,35.8297938733707,35.8297938733707,35.8297938733707,35.8297938733707,35.8297938733707,35.8297938733707,35.8297938733707
82,0,35.5694869512372,35.5694869512372,35.5694869512372,35.5694869512372,35.5694869512372,35.5694869512372,35.5694869512372,35.8295815435153,35.8295815435153,35.8295815435153,35.8295815435153,35.8295815435153,35.8295815435153,35.8295815435153
82.1,0,35.5695131564998,35.5695131564998,35.5695131564998,35.5695131564998,35.5695131564998,35.5695131564998,35.5695131564998,35.8293694118847,35.8293694118847,35.8293694118847,35.8293694118847,35.8293694118847,35.8293694118847,35.8293694118847
82.2,0,35.5695349719941,35.5695349719941,35.5695349719941,35.5695349719941,35.5695349719941,35.5695349719941,35.5695349719941,35.8291574746403,35.8291574746403,35.8291574746403,35.8291574746403,35.8291574746403,35.8291574746403,35.8291574746403
82.3,0,35.569552513106,35.569552513106,35.569552513106,35.569552513106,35.569552513106,35.569552513106,35.569552513106,35.8289457280433,35.8289457280433,35.8289457280433,35.8289457280433,35.8289457280433,35.8289457280433,35.8289457280433
82.4,0,35.5695658922126,35.5695658922126,35.5695658922126,35.5695658922126,35.5695658922126,35.5695658922126,35.5695658922126,35.8287341684519,35.8287341684519,35.8287341684519,35.8287341684519,35.8287341684519,35.8287341684519,35.8287341684519
82.5,0,35.5695752187607,35.5695752187607,35.5695752187607,35.5695752187607,35.5695752187607,35.5695752187607,35.5695752187607,35.8285227923193,35.8285227923193,35.8285227923193,35.8285227923193,35.8285227923193,35.8285227923193,35.8285227923193
82.6,0,35.5695805993428,35.5695805993428,35.5695805993428,35.5695805993428,35.5695805993428,35.5695805993428,35.5695805993428,35.8283115961904,35.8283115961904,35.8283115961904,35.8283115961904,35.8283115961904,35.8283115961904,35.8283115961904
82.7,0,35.5695821377722,35.5695821377722,35.5695821377722,35.5695821377722,35.5695821377722,35.5695821377722,35.5695821377722,35.8281005767003,35.8281005767003,35.8281005767003,35.8281005767003,35.8281005767003,35.8281005767003,35.8281005767003
82.8,0,35.5695799351545,35.5695799351545,35.5695799351545,35.5695799351545,35.5695799351545,35.5695799351545,35.5695799351545,35.8278897305712,35.8278897305712,35.8278897305712,35.8278897305712,35.8278897305712,35.8278897305712,35.8278897305712
82.9,0,35.5695740899593,35.5695740899593,35.5695740899593,35.5695740899593,35.5695740899593,35.5695740899593,35.5695740899593,35.8276790546105,35.8276790546105,35.8276790546105,35.8276790546105,35.8276790546105,35.8276790546105,35.8276790546105
83,0,35.569564698088,35.569564698088,35.569564698088,35.569564698088,35.569564698088,35.569564698088,35.569564698088,35.8274685457086,35.8274685457086,35.8274685457086,35.8274685457086,35.8274685457086,35.8274685457086,35.8274685457086
83.1,0,35.5695518529413,35.5695518529413,35.5695518529413,35.5695518529413,35.5695518529413,35.5695518529413,35.5695518529413,35.8272582008365,35.8272582008365,35.8272582008365,35.8272582008365,35.8272582008365,35.8272582008365,35.8272582008365
83.2,0,35.5695356454843,35.5695356454843,35.5695356454843,35.5695356454843,35.5695356454843,35.5695356454843,35.5695356454843,35.8270480170441,35.8270480170441,35.8270480170441,35.8270480170441,35.8270480170441,35.8270480170441,35.8270480170441
83.3,0,35.5695161643099,35.5695161643099,35.5695161643099,35.5695161643099,35.5695161643099,35.5695161643099,35.5695161643099,35.8268379914576,35.8268379914576,35.8268379914576,35.8268379914576,35.8268379914576,35.8268379914576,35.8268379914576
83.4,0,35.5694934957009,35.5694934957009,35.5694934957009,35.5694934957009,35.5694934957009,35.5694934957009,35.5694934957009,35.8266281212781,35.8266281212781,35.8266281212781,35.8266281212781,35.8266281212781,35.8266281212781,35.8266281212781
83.5,0,35.5694677236897,35.5694677236897,35.5694677236897,35.5694677236897,35.5694677236897,35.5694677236897,35.5694677236897,35.826418403779,35.826418403779,35.826418403779,35.826418403779,35.826418403779,35.826418403779,35.826418403779
83.6,0,35.5694389301178,35.5694389301178,35.5694389301178,35.5694389301178,35.5694389301178,35.5694389301178,35.5694389301178,35.8262088363048,35.8262088363048,35.8262088363048,35.8262088363048,35.8262088363048,35.8262088363048,35.8262088363048
83.7,0,35.569407194692,35.569407194692,35.569407194692,35.569407194692,35.569407194692,35.569407194692,35.569407194692,35.8259994162688,35.8259994162688,35.8259994162688,35.8259994162688,35.8259994162688,35.8259994162688,35.8259994162688
83.8,0,35.5693725950408,35.5693725950408,35.5693725950408,35.5693725950408,35.5693725950408,35.5693725950408,35.5693725950408,35.8257901411513,35.8257901411513,35.8257901411513,35.8257901411513,35.8257901411513,35.8257901411513,35.8257901411513
83.9,0,35.5693352067684,35.5693352067684,35.5693352067684,35.5693352067684,35.5693352067684,35.5693352067684,35.5693352067684,35.8255810084981,35.8255810084981,35.8255810084981,35.8255810084981,35.8255810084981,35.8255810084981,35.8255810084981
84,0,35.5692951035071,35.5692951035071,35.5692951035071,35.5692951035071,35.5692951035071,35.5692951035071,35.5692951035071,35.8253720159186,35.8253720159186,35.8253720159186,35.8253720159186,35.8253720159186,35.8253720159186,35.8253720159186
84.1,0,35.5692523569693,35.5692523569693,35.5692523569693,35.5692523569693,35.5692523569693,35.5692523569693,35.5692523569693,35.8251631610842,35.8251631610842,35.8251631610842,35.8251631610842,35.8251631610842,35.8251631610842,35.8251631610842
84.2,0,35.5692070369972,35.5692070369972,35.5692070369972,35.5692070369972,35.5692070369972,35.5692070369972,35.5692070369972,35.8249544417268,35.8249544417268,35.8249544417268,35.8249544417268,35.8249544417268,35.8249544417268,35.8249544417268
84.3,0,35.5691592116116,35.5691592116116,35.5691592116116,35.5691592116116,35.5691592116116,35.5691592116116,35.5691592116116,35.824745855637,35.824745855637,35.824745855637,35.824745855637,35.824745855637,35.824745855637,35.824745855637
84.4,0,35.5691089470594,35.5691089470594,35.5691089470594,35.5691089470594,35.5691089470594,35.5691089470594,35.5691089470594,35.8245374006627,35.8245374006627,35.8245374006627,35.8245374006627,35.8245374006627,35.8245374006627,35.8245374006627
84.5,0,35.5690563078601,35.5690563078601,35.5690563078601,35.5690563078601,35.5690563078601,35.5690563078601,35.5690563078601,35.8243290747075,35.8243290747075,35.8243290747075,35.8243290747075,35.8243290747075,35.8243290747075,35.8243290747075
84.6,0,35.5690013568503,35.5690013568503,35.5690013568503,35.5690013568503,35.5690013568503,35.5690013568503,35.5690013568503,35.8241208757296,35.8241208757296,35.8241208757296,35.8241208757296,35.8241208757296,35.8241208757296,35.8241208757296
84.7,0,35.5689441552283,35.5689441552283,35.5689441552283,35.5689441552283,35.5689441552283,35.5689441552283,35.5689441552283,35.8239128017398,35.8239128017398,35.8239128017398,35.8239128017398,35.8239128017398,35.8239128017398,35.8239128017398
84.8,0,35.5688847625961,35.5688847625961,35.5688847625961,35.5688847625961,35.5688847625961,35.5688847625961,35.5688847625961,35.8237048508006,35.8237048508006,35.8237048508006,35.8237048508006,35.8237048508006,35.8237048508006,35.8237048508006
84.9,0,35.5688232370015,35.5688232370015,35.5688232370015,35.5688232370015,35.5688232370015,35.5688232370015,35.5688232370015,35.8234970210247,35.8234970210247,35.8234970210247,35.8234970210247,35.8234970210247,35.8234970210247,35.8234970210247
85,0,35.5687596349786,35.5687596349786,35.5687596349786,35.5687596349786,35.5687596349786,35.5687596349786,35.5687596349786,35.8232893105737,35.8232893105737,35.8232893105737,35.8232893105737,35.8232893105737,35.8232893105737,35.8232893105737
85.1,-3.23155303749557,35.5686940115871,35.5686940115871,35.5686940115871,35.5686940115871,35.5686940115871,35.5686940115871,35.5686940115871,35.8239963471599,35.8241195000841,35.8243499842528,35.8240797760892,35.8239610407443,35.8242168456928,35.8241214427774
85.2,-3.23155303749557,35.5686424653154,35.5686424653154,35.5686424653154,35.5686424653154,35.5686424653154,35.5686424653154,35.5686424653154,35.8247054828503,35.8248289061315,35.8250606263047,35.824789497309,35.8246699472197,35.8249262437257,35.8248305798741
85.3,-3.23155303749557,35.5686046739023,35.5686046739023,35.5686046739023,35.5686046739023,35.5686046739023,35.5686046739023,35.5686046739023,35.8254167270948,35.8255404206319,35.8257733760645,35.825501326771,35.8253809622471,35.8256377501187,35.8255418255245
85.4,-3.23155303749557,35.5685803234723,35.5685803234723,35.5685803234723,35.5685803234723,35.5685803234723,35.5685803234723,35.5685803234723,35.826130089073,35.8262540527648,35.8264882427118,35.8262152736548,35.826094095006,35.8263513740512,35.8262551889079
85.5,-3.23155303749557,35.5685691083175,35.5685691083175,35.5685691083175,35.5685691083175,35.5685691083175,35.5685691083175,35.5685691083175,35.8268455777009,35.8269698114461,35.827205235163,35.8269313468765,35.8268093544124,35.8270671244395,35.8269706789406
85.6,-3.23155303749557,35.5685707306847,35.5685707306847,35.5685707306847,35.5685707306847,35.5685707306847,35.5685707306847,35.5685707306847,35.827563201638,35.8276877053355,35.8279243620779,35.8276495550956,35.8275267491259,35.8277850099431,35.8276883042818
85.7,-3.23155303749557,35.5685849005677,35.5685849005677,35.5685849005677,35.5685849005677,35.5685849005677,35.5685849005677,35.5685849005677,35.8282829692939,35.8284077428425,35.8286456318663,35.8283699067218,35.8282462875559,35.8285050389715,35.8284080733413
85.8,-3.23155303749557,35.5686113355054,35.5686113355054,35.5686113355054,35.5686113355054,35.5686113355054,35.5686113355054,35.5686113355054,35.8290048888347,35.8291299321334,35.8293690526947,35.8290924099215,35.8289679778688,35.8292272196911,35.8291299942852
85.9,-3.23155303749557,35.568649760385,35.568649760385,35.568649760385,35.568649760385,35.568649760385,35.568649760385,35.568649760385,35.8297289681899,35.8298542811375,35.8300946324927,35.829817072624,35.8296918279939,35.8299515600312,35.8298540750429
86,-3.23155303749557,35.5686999072508,35.5686999072508,35.5686999072508,35.5686999072508,35.5686999072508,35.5686999072508,35.5686999072508,35.8304552150577,35.8305807975531,35.830822378959,35.8305439025278,35.8304178456294,35.8306780676903,35.8305803233127
86.1,-3.23155303749557,35.5687615151169,35.5687615151169,35.5687615151169,35.5687615151169,35.5687615151169,35.5687615151169,35.5687615151169,35.8311836369118,35.831309488854,35.8315522995675,35.8312729071066,35.8311460382491,35.831406750142,35.8313087465683
